sender,receiver,value
LETICIA,FATIMA,44026
JAIR,MAURO,20401
DIOGO,EDNA,68182
GILSON,DANILO,40729
VANESSA,MICHELE,64020
CLAUDIO,RAFAELA,5115
DENISE,ELIANE,48963
RAFAEL,WILSON,89926
SOLANGE,VANESSA,12100
MARCIA,BARBARA,50930
ADILSON,MARLENE,41556
CRISTIANO,CARLOS,98273
JANAINA,DANIELA,14731
DENISE,BRUNA,12241
LUCIANO,SUELI,39314
JANAINA,ROSA,24470
DIEGO,OSVALDO,59260
ALESSANDRO,FLAVIO,97277
SIMONE,CAROLINE,11407
ANDREA,LUIS,6834
MAURICIO,MICHELE,27070
SIMONE,HENRIQUE,5119
ANGELA,AMANDA,9206
MICHELE,ALINE,89961
THIAGO,DAVID,60075
LUAN,NATALIA,61307
JONAS,JAIR,9327
LEANDRO,GILSON,66795
ELIAS,ANDRESSA,75130
ANTONIO,ADRIANA,47917
FLAVIO,VICTOR,64538
APARECIDA,RAFAEL,51054
ROSA,RAIMUNDA,76508
LUCIANA,ROBSON,33123
JANAINA,WESLEY,43935
ROSANGELA,BARBARA,41045
LUCIANA,MICHELE,64434
HELENA,ELAINE,10130
FLAVIA,CRISTIANO,44448
SARA,LUAN,18178
SERGIO,BENEDITO,73037
ELIANA,ANTONIA,57436
MANOEL,FABIO,43815
GUILHERME,MATHEUS,67177
JOAO,JONAS,88481
GABRIEL,OSVALDO,50756
ALESSANDRA,VALERIA,18222
ANDRE,LETICIA,70382
CRISTINA,CELIA,64057
LUCIANO,TIAGO,81852
LEONARDO,MARCO,49684
AMANDA,TEREZINHA,86520
VALDIR,SUELI,49797
ISABELA,CAIO,18712
GABRIEL,LUCIA,61861
MARIANA,ALEX,83144
DIEGO,ROBERTO,82712
RAFAEL,ALINE,47993
JULIANA,DAVI,28724
LUCIANO,CAMILA,80661
BEATRIZ,LUCIANO,10511
VIVIANE,RAFAEL,28431
LETICIA,NATALIA,31717
JONAS,TAIS,19855
EMERSON,SEBASTIAO,44880
LARISSA,BENEDITO,69643
JOANA,WILSON,50004
JOANA,ANDREA,49848
BIANCA,VITOR,69414
AMANDA,BEATRIZ,30181
CARLA,SONIA,92278
HELENA,RITA,50633
ADRIANA,SEBASTIAO,6415
REGINALDO,CELIA,78214
JULIO,ELIAS,71807
MANOEL,MARCOS,41885
ANDRESSA,MARCO,7332
MARCOS,MARINA,7267
DOUGLAS,FABIO,89568
GERALDO,MATHEUS,48970
VITORIA,CARLOS,28517
VANESSA,PEDRO,14810
LARISSA,JOSEFA,61875
VALDIR,DENISE,40905
CICERO,LUANA,80131
EDNA,JAIR,74706
ROBERTO,MATHEUS,71874
GILMAR,ELAINE,19244
JOSEFA,SIMONE,18231
ANA,JEFERSON,19244
MAURO,MANUEL,83918
FLAVIA,LUAN,70737
CICERO,REGINALDO,23463
CICERO,GILBERTO,29977
CLAUDIA,DANIELE,21425
FRANCISCO,DIEGO,12178
VINICIUS,JAQUELINE,55544
GERALDO,FERNANDA,67853
CICERO,ANTONIO,81865
VICTOR,DANILO,3126
THAIS,ROBERTO,718
MIGUEL,RAFAELA,5333
CRISTIANO,MANUEL,80185
ISABELA,JOAO,91872
ROBSON,CARLA,41382
MARIANA,ELIANE,29
ALEXANDRE,JAQUELINE,2094
ANDRE,MARTA,45655
DAIANE,NATALIA,47667
WILSON,CARLOS,13332
LUCIANA,BRUNO,98144
TANIA,ISABEL,89933
LUZIA,CLAUDIO,60412
ANDERSON,MATEUS,60942
SUELI,CELIA,91827
GILMAR,CARLA,97982
BEATRIZ,ROGERIO,2442
ROSANGELA,GUILHERME,23496
ELIANE,SAMUEL,93843
ANA,TATIANE,51502
LUIS,SARA,35558
DAVI,MARCIA,18022
ANDREIA,VANESSA,60372
LUCAS,JOSE,57025
DANIELA,GUILHERME,10053
WILSON,JAIR,17233
CARLA,TAIS,36693
RITA,MARLI,3020
APARECIDA,SEVERINO,67729
JORGE,FABIANO,98517
FERNANDA,REGINALDO,84499
ISABELA,ELIANA,23979
GABRIEL,WILSON,31872
ANDERSON,MARLENE,86030
RAIMUNDA,DIOGO,93491
VERA,CRISTINA,69537
VALDIR,MARIANA,59126
JEAN,VICTOR,15418
RODRIGO,MATEUS,78249
MAURICIO,ALEXANDRE,86555
ANDERSON,WESLEY,79775
MARCELO,ADILSON,2204
FRANCISCO,NATALIA,46067
JAIR,LUIZ,51741
GABRIEL,BRUNA,19964
BRUNO,DIOGO,20613
JAQUELINE,ROBSON,18904
ROGERIO,LEANDRO,84579
GUILHERME,ADILSON,76207
PRISCILA,SILVIA,11331
FRANCISCO,WESLEY,59564
CARLOS,LUZIA,68851
GILSON,TEREZA,20809
JOSEFA,ROSA,31724
MONICA,JONAS,35591
ALEXANDRE,SEBASTIAO,82129
FABIANA,VICTOR,33371
ROBERTO,DANIELE,18112
MARCIO,WILLIAN,85082
CRISTIANO,TANIA,8418
GERALDO,JONAS,33866
ELIAS,MARLI,15807
JOANA,CARLOS,66730
ELIAS,MIGUEL,31586
BENEDITO,ELAINE,76027
ANDRE,JAQUELINE,32826
ALINE,MANUEL,44199
THIAGO,ADRIANO,26231
DOUGLAS,JEAN,64002
MARCELO,CLAUDIO,11126
EVERTON,ALEXANDRE,90128
CAROLINE,ISABELA,11672
VICTOR,PEDRO,60733
ERICA,FLAVIA,90231
JOSEFA,FERNANDO,22086
BARBARA,JEFERSON,97311
CLAUDIA,MIGUEL,2429
FRANCISCO,MANOEL,69426
BRUNO,BENEDITO,99093
ELAINE,SUELI,2299
ADILSON,VANESSA,7887
CELIA,SIMONE,20746
JOANA,MARCOS,35626
ALAN,BENEDITO,95262
NELSON,ROGERIO,79791
DANILO,ELIANE,24958
TEREZA,FABIANO,42047
ISABEL,GERALDO,39503
ISABEL,FLAVIO,71144
ADRIANA,CICERO,62283
MARCELO,JAQUELINE,13451
DEBORA,JAQUELINE,25859
SABRINA,EDSON,74273
FLAVIA,ROSA,72240
ANDRE,SILVIA,79462
LUIS,LUCIANA,35510
FELIPE,DANIEL,19920
SEVERINO,GILSON,24517
MANUEL,GUILHERME,58750
JULIO,BRUNA,74846
CAROLINE,JAQUELINE,4108
VALDIR,ROBERTO,37439
JOAQUIM,VERA,58884
CAROLINE,MARLI,26663
ROGERIO,WILLIAN,42380
JOSEFA,JOAQUIM,18472
BIANCA,DIEGO,5179
VITORIA,DEBORA,8420
LUCIANA,MARLI,60674
TANIA,LEONARDO,109
VICTOR,JOSEFA,36690
JOAQUIM,CLAUDIA,99166
DAVI,BRUNO,90759
DIEGO,JULIANA,79757
JEFERSON,RENAN,50248
LEANDRO,FABIO,53288
EDSON,MARIO,88647
DANIELA,REGINALDO,14203
ROGERIO,ISABEL,57081
WILSON,SIMONE,76448
GILBERTO,SANDRA,3675
LUAN,MAURICIO,8523
MARTA,ALEX,91765
FABIANA,LUIS,32578
MANUEL,NELSON,3696
CRISTIANO,ISABELA,26271
FLAVIA,ALESSANDRO,43720
ANTONIO,WILSON,914
DANIELA,FLAVIO,36932
MICHELE,MARLI,72773
MAURICIO,MARIO,8598
JULIO,CELIA,22593
SAMUEL,EDUARDO,33764
FLAVIO,AMANDA,78892
CRISTIANO,NELSON,20739
ADRIANO,ELIANA,25276
BRUNA,GILBERTO,81839
RODRIGO,ALAN,57613
REGINALDO,CRISTIANE,22889
ANDRE,LUCIA,76144
DANILO,CLAUDIA,88167
ANDRESSA,RAQUEL,71973
VERA,MARIA,94016
FERNANDO,RICARDO,80107
LUANA,SANDRA,96081
JAQUELINE,BEATRIZ,16894
MARINA,SILVANA,85797
ADRIANA,CRISTIANO,68005
SUELI,JULIANA,22124
EDNA,JOANA,38248
ANA,JEFERSON,17495
GILSON,RENAN,73661
ISABEL,ANTONIA,29883
ALEX,THIAGO,31605
ANTONIA,PAULA,98705
TIAGO,DAVID,74719
RAIMUNDO,FATIMA,17356
ADRIANA,RENAN,90480
JEFERSON,JONAS,76524
MARIO,VALDIR,86538
LUCIA,LUIZA,73100
ALAN,DOUGLAS,93311
OSVALDO,TEREZINHA,33193
TANIA,ADILSON,75269
RICARDO,PAULO,84775
TEREZINHA,ROGERIO,84648
MONICA,RENATA,14243
ALICE,MAURO,55028
LUIZ,DANIEL,96165
VERA,SABRINA,78933
RENAN,SABRINA,87447
ADILSON,JOANA,73900
RENATA,CLAUDIA,52858
ALICE,SABRINA,79801
BRUNO,VALDIR,29697
CLAUDIO,MIGUEL,64090
ALEX,DENISE,91058
GILSON,CLAUDIO,85483
EDUARDO,JONAS,14497
SIMONE,GILMAR,23071
BENEDITO,FLAVIO,36777
RENATO,SERGIO,88831
VANESSA,LEONARDO,35793
TIAGO,ANA,62965
RAIMUNDA,GILBERTO,82590
MARCELO,FELIPE,66611
EVERTON,JEFERSON,58900
MANUEL,OSVALDO,93553
RENATA,JANAINA,64365
EMERSON,MARLI,72376
DENISE,ANA,64072
JEFERSON,MONICA,33651
ISABELA,VALDIR,90587
RAFAEL,VERA,4856
ANTONIA,MAURO,5528
GUSTAVO,ROSA,65637
PAULA,ADRIANO,43537
JONAS,LUANA,94068
MARCIA,SARA,79667
MONICA,JULIANA,229
CARLA,EMERSON,24932
TEREZINHA,RAFAEL,22190
LARISSA,SEBASTIAO,93079
TIAGO,ROSANA,31219
WILSON,HENRIQUE,99768
JOSE,JAQUELINE,74871
RITA,MATEUS,30199
VINICIUS,PEDRO,51496
JULIANA,JAIR,10660
RENATA,FELIPE,75127
THIAGO,SERGIO,45603
GILMAR,GABRIELA,459
FERNANDO,RODRIGO,23997
ANDRESSA,NATALIA,1199
MARIA,WESLEY,4151
MATEUS,MARCIA,72775
ROBSON,CAROLINA,57424
VERA,FABIANA,67386
SILVIA,ADILSON,30286
FRANCISCO,ANDERSON,64271
CARLA,FATIMA,52571
ELIAS,RENATO,42599
RAFAEL,VERA,43582
ISABEL,ROSANA,49858
REGINA,ANDRE,93670
PAULA,MICHELE,86671
LUCIA,MARCOS,26680
SOLANGE,LETICIA,77392
JULIO,CRISTIANE,7920
JORGE,ANTONIO,8144
DEBORA,WILLIAN,7980
EDSON,EDUARDO,33680
JONAS,MARCELO,2244
LETICIA,FERNANDO,9210
LUANA,CAROLINE,989
EDNA,SERGIO,75976
LUANA,PAULA,98205
FABIO,JANAINA,10626
RICARDO,RAQUEL,11882
ROBSON,JOSE,47906
ANDREIA,CAIO,65850
APARECIDA,BRUNO,46642
JULIA,JOAQUIM,61233
RODRIGO,MATHEUS,31062
JOSE,LUCIANA,32456
WESLEY,SANDRA,95006
GILSON,DAVID,92621
SIMONE,MONICA,44849
CAROLINA,LUCIANA,3844
FATIMA,BRUNO,1654
FABRICIO,JOANA,347
LAURA,MARLENE,5143
FABIO,PRISCILA,42870
ADILSON,GILBERTO,61136
MARCOS,ANTONIO,37163
ELIANE,CAROLINE,20094
SILVIA,CAIO,84184
LARISSA,SONIA,20312
FABRICIO,SOLANGE,74489
ALICE,JEAN,87244
SANDRA,SERGIO,99380
GILSON,JOANA,985
NELSON,DANILO,12918
LAURA,ELAINE,89304
NATALIA,JORGE,251
SILVANA,RAQUEL,48876
ELIANA,ROGERIO,60389
VITOR,LUAN,77696
DEBORA,MARLI,49135
VANESSA,ELIANE,89491
LUANA,JOANA,49254
GUILHERME,FELIPE,37878
ALINE,JULIANA,61813
FABIANO,NELSON,78201
FELIPE,GUSTAVO,72677
JOANA,ELIAS,46368
SAMUEL,LAURA,98221
LUCIANO,ANGELA,79658
RONALDO,VALDIR,86480
BIANCA,FLAVIA,38956
SAMUEL,FERNANDA,40199
ALAN,ELIANA,14361
JOAO,ELIANE,17019
GILMAR,MONICA,85699
RAFAEL,PEDRO,48213
EDNA,DOUGLAS,97288
FRANCISCA,FABIANO,76185
VANESSA,JULIA,51493
JULIO,RONALDO,28102
MAURO,DANIEL,77414
MANOEL,VALDIR,88129
JOANA,VICTOR,20378
CRISTIANE,MARCO,49244
GILMAR,LUIZA,70184
GABRIELA,ELIANE,54824
OSVALDO,JOANA,3773
JOAQUIM,ERICA,87672
ROSANA,ROSANGELA,67902
MIGUEL,LUZIA,60537
ANDREA,GILMAR,59309
FABIANA,ADILSON,81943
VITORIA,LETICIA,50632
VANESSA,REGINALDO,83272
JEFERSON,CRISTINA,79538
ISABEL,VICTOR,54903
LUCIANO,REGINA,64531
WILSON,GILBERTO,62503
RAFAELA,ANDRESSA,30574
CRISTIANO,DIEGO,47973
JULIO,ELAINE,14661
RONALDO,THAIS,76409
MARIA,CAIO,23570
JESSICA,SERGIO,19834
ANA,JONAS,4621
LUCIANO,GILSON,86220
MARCELO,MARCO,84582
MAURICIO,TAIS,72839
ROSANA,SARA,79101
RICARDO,EDSON,48104
VINICIUS,JULIA,18478
VITORIA,AMANDA,55312
BRUNA,FRANCISCO,1061
LUANA,JONAS,76359
ALINE,LUCIA,53077
DIOGO,MATEUS,96852
DENISE,HENRIQUE,18332
SEBASTIAO,GILMAR,80016
MANUEL,MARLI,1457
DANIEL,VALDIR,96541
RICARDO,JOANA,58276
ANTONIA,NELSON,77953
CELIA,ELIANE,30991
JANAINA,PAULA,37617
ELIAS,JEAN,89901
VICTOR,TAIS,5512
PEDRO,JULIA,30724
ADILSON,BIANCA,94355
TANIA,ELIAS,63956
PEDRO,TEREZINHA,9960
MARCIA,RENATO,85847
MARIANA,MARLI,48874
TATIANE,ROSANGELA,81095
MARIANA,MIGUEL,25068
LUIZ,LUCIANO,23271
AMANDA,EDUARDO,6810
FLAVIO,JULIA,79680
DOUGLAS,VANESSA,95016
JAIR,RAFAEL,13383
GERALDO,LUZIA,51610
FABRICIO,RAIMUNDA,96732
GILBERTO,SILVIA,34320
PAULA,EDUARDO,60777
ANDREIA,THAIS,56565
VALDIR,JAIR,33044
VALERIA,GABRIEL,92555
ERICA,DANIELE,14631
LUCIA,LUCIANO,75822
ERICA,CARLA,11335
EDSON,LUCIANO,94503
ERICA,PRISCILA,82202
AMANDA,ROBERTO,57465
WILSON,ROGERIO,39255
ANA,GILMAR,13757
ROBERTO,JOAO,12883
LUAN,CAROLINE,8733
JOANA,MAURICIO,93725
MARLI,DANILO,99176
MARLI,SONIA,21813
SUELI,EDUARDO,75077
PATRICIA,EMERSON,93496
LUIZA,ADILSON,6983
ROSANA,RICARDO,51413
SERGIO,ELAINE,45012
JONAS,JAQUELINE,13924
OSVALDO,RONALDO,67645
LUCIA,LUCIANO,90606
MAURICIO,MARCO,39799
GABRIELA,TAIS,91217
BRUNA,FERNANDO,57755
SONIA,GUILHERME,86143
ALINE,MIGUEL,57274
FERNANDO,LAURA,78743
VICTOR,CAMILA,13619
TAIS,JORGE,75059
SANDRA,RENATO,96751
NELSON,OSVALDO,30115
MARCIA,DOUGLAS,15291
CAROLINA,JOSEFA,19402
ERICA,WESLEY,94769
JOAO,PRISCILA,10199
FABIANA,LETICIA,7340
ROSANGELA,VALERIA,11757
WILSON,MATEUS,68541
DAVI,DANIELA,5823
JULIA,ALEXANDRE,40440
DAIANE,LUCAS,7169
JONAS,ANTONIA,4936
GILMAR,DAVID,53888
MARCO,FLAVIO,98381
MANUEL,SOLANGE,50992
DANIEL,ADRIANO,33479
ROBERTO,DOUGLAS,62
ADILSON,LUIZ,2598
GUILHERME,BRUNO,64005
WILSON,FRANCISCA,286
PATRICIA,THAIS,27790
RAQUEL,TIAGO,47996
CRISTIANE,PATRICIA,63336
JOSEFA,MARTA,5003
RAFAEL,DANIELE,74479
GILSON,ELIAS,80596
PEDRO,TEREZINHA,87718
RITA,JEFERSON,67035
ELIANA,CARLA,60945
ANDRESSA,JORGE,32274
RODRIGO,HENRIQUE,99946
MARLENE,BEATRIZ,37898
LUCIA,GILBERTO,96477
VERA,FABIO,17321
THIAGO,ANGELA,41696
DANILO,DANIEL,44335
ANTONIA,SILVANA,92207
CELIA,MANOEL,23645
JANAINA,LUCIANA,92007
PAULA,RENATA,94254
LEANDRO,EDSON,93181
GABRIELA,DANIELE,97443
ELIANA,EVERTON,85600
RODRIGO,TIAGO,72867
VITOR,ISABEL,98412
SIMONE,LUCAS,50965
DAVI,PEDRO,52288
CELIA,ISABEL,13902
IGOR,JAQUELINE,8811
ISABEL,FABIANA,4375
BRUNO,THAIS,48930
DAVI,SOLANGE,81843
CELIA,ANDRE,50045
JOAQUIM,LUCIA,7120
MARCELO,DOUGLAS,80976
ALEXANDRE,SEBASTIAO,86422
TANIA,TEREZINHA,91747
VERA,AMANDA,41077
GILBERTO,CAIO,40843
VALDIR,VERA,52077
VITOR,VALDIR,95959
TEREZINHA,MARINA,20936
SARA,CRISTIANE,42445
LETICIA,GABRIEL,56746
ANDERSON,EMERSON,96675
ELIANA,CICERO,97035
CRISTIANO,JAIR,35661
CELIA,MICHELE,58512
OSVALDO,SANDRA,5114
ANTONIO,VINICIUS,75915
JAIR,RENATO,7240
CAMILA,ISABELA,10046
GABRIEL,SEVERINO,47332
CARLOS,CAROLINE,63728
ALICE,VINICIUS,18006
VALDIR,VANESSA,75489
MATHEUS,ANDRESSA,2361
FELIPE,SEBASTIAO,81360
CARLA,LUAN,4509
SILVIA,ISABELA,76848
SIMONE,FRANCISCA,31359
ALEX,PAULO,31779
CAMILA,PAULO,99383
MARCIA,ANGELA,78853
IGOR,LARISSA,79127
DIEGO,GILMAR,37814
VERA,CAROLINA,91996
EVERTON,OSVALDO,99217
JESSICA,EDNA,2796
DANILO,DIOGO,60936
LETICIA,PRISCILA,22949
TIAGO,JEAN,31173
GERALDO,MANUEL,21130
WILLIAN,DENISE,75642
VITORIA,BARBARA,70216
ISABEL,CRISTINA,53825
LUIS,DEBORA,85043
SILVIA,ALEX,77805
MATEUS,BRUNA,15764
CLAUDIO,CELIA,13943
ROSANA,JOAQUIM,51829
CELIA,DANIELA,36317
FRANCISCO,CARLA,60095
LUIZ,JORGE,3463
ANTONIO,TEREZA,70632
ALICE,RAIMUNDO,94494
RENATO,IGOR,68633
JEAN,SANDRA,27626
ALESSANDRO,DANIEL,1131
ADILSON,BRUNA,96723
JULIA,TIAGO,29224
ADILSON,ANDREIA,7665
CARLA,DANIEL,15738
RODRIGO,JOANA,50677
FABIANA,SANDRA,24279
FELIPE,WILSON,41852
GUSTAVO,MAURICIO,44711
LUIS,DANIELA,1382
FABRICIO,RODRIGO,97475
CRISTIANO,ALESSANDRA,78690
TEREZINHA,JULIANA,30734
MICHELE,ADRIANA,37721
LARISSA,FRANCISCA,71333
IGOR,DIOGO,1841
PRISCILA,RAFAELA,16245
RITA,GUSTAVO,75979
LARISSA,JULIO,15417
GUSTAVO,ALICE,54567
FATIMA,CAROLINE,44771
JOAQUIM,VALERIA,5424
CAMILA,LUIZ,99829
SILVIA,VINICIUS,39047
GUSTAVO,LUCIA,88402
ANTONIO,IGOR,36216
RAQUEL,GILMAR,70789
JULIA,GILBERTO,79680
MARIA,EDNA,77547
TEREZA,MONICA,94488
THIAGO,MAURO,50868
FABIO,BIANCA,46733
MARIO,FERNANDO,29329
ISABELA,SARA,58908
RITA,GILMAR,67903
MARCO,ROBSON,1060
VIVIANE,JOSE,53897
MARCELO,ADRIANO,99684
FELIPE,JEAN,91620
LUCAS,LUCIA,15725
DOUGLAS,RAIMUNDA,95057
MAURO,WILLIAN,37223
VINICIUS,SANDRA,91534
LUZIA,ANTONIA,91622
CICERO,GABRIEL,25593
LUCIA,RICARDO,5036
MARCOS,ADILSON,18643
ELIAS,ADILSON,23518
RONALDO,JULIA,76232
TATIANE,CRISTIANO,84837
DOUGLAS,ALESSANDRA,29700
OSVALDO,RICARDO,3858
ADILSON,JAIR,99467
BEATRIZ,CAROLINE,15755
CRISTINA,VIVIANE,56632
ALEX,TATIANE,38833
EDSON,MAURICIO,25508
MARCIA,LUIZA,44269
SARA,DANILO,71787
MONICA,THIAGO,40202
TIAGO,JOANA,36692
SEBASTIAO,DANIEL,91170
HELENA,TEREZA,44383
ROBERTO,MIGUEL,31904
JEFERSON,MATEUS,25486
MARCIA,SAMUEL,82400
VIVIANE,MANUEL,74140
VICTOR,FRANCISCO,42703
ALINE,MARLI,32357
ALEXANDRE,CELIA,4846
CAROLINE,JOAO,10335
FLAVIA,VINICIUS,57700
ADRIANO,NATALIA,65091
CAIO,JOANA,48684
MARIANA,GILMAR,56894
FRANCISCA,ALAN,26339
IGOR,LUZIA,49693
RONALDO,CAIO,69868
BRUNO,RICARDO,20040
LAURA,WILLIAN,90963
LARISSA,HELENA,46057
SABRINA,MICHELE,70377
CLAUDIA,GABRIEL,11851
NELSON,RODRIGO,44052
MATEUS,MAURO,13296
JAIR,CELIA,22376
HELENA,GILBERTO,43020
LUIZA,LUCIANA,81830
CICERO,LUCIANO,61923
CICERO,EDSON,23095
FLAVIA,ALINE,37750
GABRIEL,CARLA,60139
PATRICIA,ROSANGELA,90223
FABRICIO,CLAUDIA,25670
JORGE,JOSE,50616
OSVALDO,ALESSANDRO,4149
MATHEUS,RONALDO,56131
TANIA,VITORIA,26197
ROSANA,LEONARDO,20901
ELIAS,FABIANA,62152
ISABEL,BIANCA,33325
ROSA,MANOEL,22754
SIMONE,AMANDA,14270
ALESSANDRA,VALERIA,37630
MAURICIO,ELAINE,64514
BRUNA,GUILHERME,24233
ANDREA,VIVIANE,73896
TIAGO,JOAQUIM,78124
ERICA,JESSICA,24093
DAVI,MATEUS,58973
FRANCISCO,MONICA,84428
DIEGO,LEANDRO,84954
ROBSON,AMANDA,66236
MARLENE,VERA,94633
JAQUELINE,GILBERTO,62502
BRUNO,RENATA,34911
JOAO,LAURA,13220
EDSON,MARCIA,32234
LETICIA,WILSON,45803
SOLANGE,GUSTAVO,79884
ELAINE,CRISTIANE,47857
GUILHERME,MANOEL,98109
SILVIA,ISABELA,5048
AMANDA,LUIZ,23802
EDUARDO,RODRIGO,6157
ANTONIO,VANESSA,84636
SIMONE,RICARDO,7658
MANOEL,MIGUEL,68411
JANAINA,ELIANA,92448
EDNA,APARECIDA,88173
RAFAEL,RAIMUNDO,37147
EDSON,CLAUDIA,54148
LUCAS,MATHEUS,84853
ISABEL,MATEUS,57790
MANOEL,FATIMA,4027
LUCIANO,MARCOS,43787
JANAINA,TEREZA,23987
LUCIA,THIAGO,50648
GERALDO,ALINE,26151
MARLENE,BIANCA,54750
RAFAEL,VANESSA,53887
GUSTAVO,ANA,90629
CICERO,DIOGO,95050
LUCIANA,DANILO,84259
TEREZA,ROGERIO,52114
DAVID,RAQUEL,29897
GABRIEL,MARCO,68751
DIOGO,SANDRA,73743
MARCOS,PRISCILA,22626
SOLANGE,GABRIELA,17152
ERICA,PAULO,26655
GERALDO,ANA,50941
GILMAR,ANDREA,83124
CAMILA,RAFAEL,42673
MARLI,EDSON,12732
FABIANA,LAURA,42771
ADRIANA,BIANCA,60179
VANESSA,AMANDA,99828
ROBERTO,LUCIANO,98416
CRISTINA,LEONARDO,9918
RAIMUNDO,JOANA,74529
FATIMA,MONICA,71202
